,Nom_Districte,Nom_Barri,Sexe,Nombre,Edat
288,Sant Martí,el Besòs i el Maresme,Dones,111,3
289,Sant Martí,Provençals del Poblenou,Dones,81,3
290,Sant Martí,Sant Martí de Provençals,Dones,92,3
291,Sant Martí,la Verneda i la Pau,Dones,114,3
292,Ciutat Vella,el Raval,Dones,201,4
293,Ciutat Vella,el Barri Gòtic,Dones,42,4
294,Ciutat Vella,la Barceloneta,Dones,38,4
295,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,53,4
296,Eixample,el Fort Pienc,Dones,116,4
297,Eixample,la Sagrada Família,Dones,183,4
298,Eixample,la Dreta de l'Eixample,Dones,148,4
299,Eixample,l'Antiga Esquerra de l'Eixample,Dones,120,4
300,Eixample,la Nova Esquerra de l'Eixample,Dones,187,4
301,Eixample,Sant Antoni,Dones,118,4
302,Sants-Montjuïc,el Poble Sec,Dones,149,4
303,Sants-Montjuïc,la Marina del Prat Vermell,Dones,10,4
304,Sants-Montjuïc,la Marina de Port,Dones,108,4
305,Sants-Montjuïc,la Font de la Guatlla,Dones,19,4
306,Sants-Montjuïc,Hostafrancs,Dones,55,4
307,Sants-Montjuïc,la Bordeta,Dones,62,4
308,Sants-Montjuïc,Sants - Badal,Dones,76,4
309,Sants-Montjuïc,Sants,Dones,157,4
310,Les Corts,les Corts,Dones,187,4
311,Les Corts,la Maternitat i Sant Ramon,Dones,95,4
312,Les Corts,Pedralbes,Dones,44,4
313,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,26,4
314,Sarrià-Sant Gervasi,Sarrià,Dones,128,4
315,Sarrià-Sant Gervasi,les Tres Torres,Dones,83,4
316,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,113,4
317,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,202,4
318,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,116,4
319,Gràcia,Vallcarca i els Penitents,Dones,68,4
320,Gràcia,el Coll,Dones,31,4
321,Gràcia,la Salut,Dones,45,4
322,Gràcia,la Vila de Gràcia,Dones,191,4
323,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,137,4
324,Horta-Guinardó,el Baix Guinardó,Dones,80,4
325,Horta-Guinardó,Can Baró,Dones,39,4
326,Horta-Guinardó,el Guinardó,Dones,155,4
327,Horta-Guinardó,la Font d'en Fargues,Dones,38,4
328,Horta-Guinardó,el Carmel,Dones,119,4
329,Horta-Guinardó,la Teixonera,Dones,47,4
330,Horta-Guinardó,Sant Genís dels Agudells,Dones,27,4
331,Horta-Guinardó,Montbau,Dones,15,4
332,Horta-Guinardó,la Vall d'Hebron,Dones,20,4
333,Horta-Guinardó,la Clota,Dones,2,4
334,Horta-Guinardó,Horta,Dones,113,4
335,Nou Barris,Vilapicina i la Torre Llobeta,Dones,89,4
336,Nou Barris,Porta,Dones,114,4
337,Nou Barris,el Turó de la Peira,Dones,67,4
338,Nou Barris,Can Peguera,Dones,8,4
339,Nou Barris,la Guineueta,Dones,58,4
340,Nou Barris,Canyelles,Dones,29,4
341,Nou Barris,les Roquetes,Dones,74,4
342,Nou Barris,Verdun,Dones,60,4
343,Nou Barris,la Prosperitat,Dones,99,4
344,Nou Barris,la Trinitat Nova,Dones,37,4
345,Nou Barris,Torre Baró,Dones,18,4
346,Nou Barris,Ciutat Meridiana,Dones,69,4
347,Nou Barris,Vallbona,Dones,8,4
348,Sant Andreu,la Trinitat Vella,Dones,47,4
349,Sant Andreu,Baró de Viver,Dones,15,4
350,Sant Andreu,el Bon Pastor,Dones,53,4
351,Sant Andreu,Sant Andreu,Dones,244,4
352,Sant Andreu,la Sagrera,Dones,114,4
353,Sant Andreu,el Congrés i els Indians,Dones,56,4
354,Sant Andreu,Navas,Dones,78,4
355,Sant Martí,el Camp de l'Arpa del Clot,Dones,143,4
356,Sant Martí,el Clot,Dones,96,4
357,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,66,4
358,Sant Martí,la Vila Olímpica del Poblenou,Dones,38,4
359,Sant Martí,el Poblenou,Dones,158,4
360,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,74,4
361,Sant Martí,el Besòs i el Maresme,Dones,113,4
362,Sant Martí,Provençals del Poblenou,Dones,83,4
363,Sant Martí,Sant Martí de Provençals,Dones,89,4
364,Sant Martí,la Verneda i la Pau,Dones,111,4
365,Ciutat Vella,el Raval,Dones,196,5
366,Ciutat Vella,el Barri Gòtic,Dones,50,5
367,Ciutat Vella,la Barceloneta,Dones,34,5
368,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,58,5
369,Eixample,el Fort Pienc,Dones,107,5
370,Eixample,la Sagrada Família,Dones,184,5
371,Eixample,la Dreta de l'Eixample,Dones,155,5
372,Eixample,l'Antiga Esquerra de l'Eixample,Dones,121,5
373,Eixample,la Nova Esquerra de l'Eixample,Dones,210,5
374,Eixample,Sant Antoni,Dones,116,5
375,Sants-Montjuïc,el Poble Sec,Dones,140,5
376,Sants-Montjuïc,la Marina del Prat Vermell,Dones,6,5
377,Sants-Montjuïc,la Marina de Port,Dones,133,5
378,Sants-Montjuïc,la Font de la Guatlla,Dones,25,5
379,Sants-Montjuïc,Hostafrancs,Dones,62,5
380,Sants-Montjuïc,la Bordeta,Dones,88,5
381,Sants-Montjuïc,Sants - Badal,Dones,92,5
382,Sants-Montjuïc,Sants,Dones,184,5
383,Les Corts,les Corts,Dones,181,5
384,Les Corts,la Maternitat i Sant Ramon,Dones,113,5
385,Les Corts,Pedralbes,Dones,57,5
386,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,14,5
387,Sarrià-Sant Gervasi,Sarrià,Dones,150,5
388,Sarrià-Sant Gervasi,les Tres Torres,Dones,96,5
389,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,124,5
390,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,243,5
391,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,154,5
392,Gràcia,Vallcarca i els Penitents,Dones,67,5
393,Gràcia,el Coll,Dones,24,5
394,Gràcia,la Salut,Dones,53,5
395,Gràcia,la Vila de Gràcia,Dones,189,5
396,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,134,5
397,Horta-Guinardó,el Baix Guinardó,Dones,92,5
398,Horta-Guinardó,Can Baró,Dones,33,5
399,Horta-Guinardó,el Guinardó,Dones,147,5
400,Horta-Guinardó,la Font d'en Fargues,Dones,34,5
401,Horta-Guinardó,el Carmel,Dones,126,5
402,Horta-Guinardó,la Teixonera,Dones,47,5
403,Horta-Guinardó,Sant Genís dels Agudells,Dones,34,5
404,Horta-Guinardó,Montbau,Dones,12,5
405,Horta-Guinardó,la Vall d'Hebron,Dones,30,5
406,Horta-Guinardó,la Clota,Dones,5,5
407,Horta-Guinardó,Horta,Dones,112,5
408,Nou Barris,Vilapicina i la Torre Llobeta,Dones,90,5
409,Nou Barris,Porta,Dones,109,5
410,Nou Barris,el Turó de la Peira,Dones,70,5
411,Nou Barris,Can Peguera,Dones,12,5
412,Nou Barris,la Guineueta,Dones,59,5
413,Nou Barris,Canyelles,Dones,21,5
414,Nou Barris,les Roquetes,Dones,106,5
415,Nou Barris,Verdun,Dones,57,5
416,Nou Barris,la Prosperitat,Dones,107,5
417,Nou Barris,la Trinitat Nova,Dones,25,5
418,Nou Barris,Torre Baró,Dones,12,5
419,Nou Barris,Ciutat Meridiana,Dones,68,5
420,Nou Barris,Vallbona,Dones,8,5
421,Sant Andreu,la Trinitat Vella,Dones,41,5
422,Sant Andreu,Baró de Viver,Dones,17,5
423,Sant Andreu,el Bon Pastor,Dones,61,5
424,Sant Andreu,Sant Andreu,Dones,235,5
425,Sant Andreu,la Sagrera,Dones,113,5
426,Sant Andreu,el Congrés i els Indians,Dones,42,5
427,Sant Andreu,Navas,Dones,71,5
428,Sant Martí,el Camp de l'Arpa del Clot,Dones,131,5
429,Sant Martí,el Clot,Dones,97,5
430,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,78,5
431,Sant Martí,la Vila Olímpica del Poblenou,Dones,49,5
432,Sant Martí,el Poblenou,Dones,154,5
433,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,78,5
434,Sant Martí,el Besòs i el Maresme,Dones,129,5
435,Sant Martí,Provençals del Poblenou,Dones,94,5
436,Sant Martí,Sant Martí de Provençals,Dones,94,5
437,Sant Martí,la Verneda i la Pau,Dones,108,5
438,Ciutat Vella,el Raval,Dones,180,6
439,Ciutat Vella,el Barri Gòtic,Dones,44,6
440,Ciutat Vella,la Barceloneta,Dones,40,6
441,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,53,6
442,Eixample,el Fort Pienc,Dones,112,6
443,Eixample,la Sagrada Família,Dones,191,6
444,Eixample,la Dreta de l'Eixample,Dones,150,6
445,Eixample,l'Antiga Esquerra de l'Eixample,Dones,150,6
446,Eixample,la Nova Esquerra de l'Eixample,Dones,186,6
447,Eixample,Sant Antoni,Dones,127,6
448,Sants-Montjuïc,el Poble Sec,Dones,129,6
449,Sants-Montjuïc,la Marina del Prat Vermell,Dones,7,6
450,Sants-Montjuïc,la Marina de Port,Dones,116,6
451,Sants-Montjuïc,la Font de la Guatlla,Dones,32,6
452,Sants-Montjuïc,Hostafrancs,Dones,59,6
453,Sants-Montjuïc,la Bordeta,Dones,75,6
454,Sants-Montjuïc,Sants - Badal,Dones,92,6
455,Sants-Montjuïc,Sants,Dones,153,6
456,Les Corts,les Corts,Dones,184,6
457,Les Corts,la Maternitat i Sant Ramon,Dones,95,6
458,Les Corts,Pedralbes,Dones,58,6
459,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,28,6
460,Sarrià-Sant Gervasi,Sarrià,Dones,139,6
461,Sarrià-Sant Gervasi,les Tres Torres,Dones,82,6
462,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,126,6
463,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,216,6
464,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,136,6
465,Gràcia,Vallcarca i els Penitents,Dones,60,6
466,Gràcia,el Coll,Dones,35,6
467,Gràcia,la Salut,Dones,57,6
468,Gràcia,la Vila de Gràcia,Dones,166,6
469,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,128,6
470,Horta-Guinardó,el Baix Guinardó,Dones,80,6
471,Horta-Guinardó,Can Baró,Dones,35,6
472,Horta-Guinardó,el Guinardó,Dones,151,6
